-r-------- 1 root root 128T Oct 15 14:04 /proc/kcore
-rw-rw-r-- 1 raki raki 7.0G Sep  5 10:23 /home/raki/Documents/websploit.ova
-rw------- 1 root root 2.0G Jun 14 09:42 /swapfile
-rw------- 1 raki raki 207M Sep 11 12:01 /home/raki/core
-rwxr-xr-x 1 root root 147M Sep 20 15:05 /usr/lib/chromium-browser/chromium-browser
-rwxr-xr-x 1 root root 144M Sep 18 03:35 /opt/google/chrome/chrome
-rw-r--r-- 1 root root 111M Oct  3 00:52 /usr/lib/firefox/libxul.so
-rw-r--r-- 1 root root 107M Oct  7 13:33 /usr/lib/thunderbird/libxul.so
-rwxr-xr-x 1 root root 79M Aug 15 01:11 /usr/bin/dockerd
-rw-r--r-- 1 root root 79M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/platform-impl.jar
-rwxr-xr-x 1 root root 78M Aug 12 15:34 /opt/Postman/app/_Postman
-rwxr-xr-x 1 root root 66M Aug 15 01:11 /usr/bin/docker
-rw-r--r-- 1 root root 63M Oct 14 16:40 /boot/initrd.img-5.0.0-31-generic
-rwxrwxr-x 1 root root 60M Apr 10  2019 /usr/lib/x86_64-linux-gnu/libLLVM-8.so.1
-rw-r--r-- 1 root root 59M Apr  6  2018 /usr/lib/x86_64-linux-gnu/libLLVM-6.0.so.1
-rw-r--r-- 1 root root 54M Oct 14 17:58 /var/cache/apt/pkgcache.bin
-rw-r--r-- 1 root root 54M Oct 14 09:59 /var/cache/apt/srcpkgcache.bin
-rwxr-xr-x 1 root root 50M Jan 26  2018 /usr/bin/pandoc
-rw-r--r-- 1 root root 46M Oct  7 13:33 /usr/lib/thunderbird/omni.ja
-rw-r--r-- 1 root root 46M Apr 15  2018 /usr/lib/x86_64-linux-gnu/libQt5WebKit.so.5.212.0
-rwxr-xr-x 1 root root 45M Mar 23  2019 /usr/bin/mongoperf
-rwxr-xr-x 1 root root 45M Mar 23  2019 /usr/bin/mongod
-rw-r--r-- 1 root root 44M Sep 10 16:36 /usr/lib/x86_64-linux-gnu/libwebkit2gtk-4.0.so.37.37.6
-rw-r--r-- 1 root root 40M Dec 18  2017 /usr/lib/mysql-workbench/libmysqlparser.so.6.3.8
-rwxr-xr-x 1 root root 39M Jul  3 17:36 /usr/bin/containerd
-rw-r--r-- 1 root root 39M Sep 11 10:02 /boot/initrd.img-5.0.0-27-generic
-rw-r--r-- 1 root root 39M Oct 14 10:03 /boot/initrd.img-5.0.0-29-generic
-rw-rw-r-- 1 raki raki 34M Sep  9 15:39 /home/raki/bid_fplans.pkl
-rw-r--r-- 1 root root 33M Sep 19  2017 /usr/lib/x86_64-linux-gnu/libopenblasp-r0.2.20.so
-rw-r--r-- 1 root root 27M Apr 10  2019 /usr/lib/x86_64-linux-gnu/libicudata.so.64.1
-rw-r--r-- 1 root root 26M Mar 23  2018 /usr/lib/x86_64-linux-gnu/libicudata.so.60.2
-rwxr-xr-x 1 root root 25M Mar 23  2019 /usr/bin/mongos
-rwxr-xr-x 1 root root 25M Mar 23  2019 /usr/bin/mongo
-rwxr-xr-x 1 root root 24M Jul 22 23:32 /usr/sbin/mysqld
-rw-r--r-- 1 root root 24M Aug 21  2018 /usr/lib/x86_64-linux-gnu/libmozjs-52.so.0.0.0
-rw-r----- 1 root mlocate 23M Oct 15 16:13 /var/lib/mlocate/mlocate.db
-rwxr-xr-x 1 root root 22M Jul  3 17:36 /usr/bin/ctr
-rwxr-xr-x 1 root root 22M Jul 22 23:32 /usr/bin/mysql_embedded
-rwxr-xr-x 1 root root 22M Aug 12 15:34 /opt/Postman/app/libnode.so
-rw-r--r-- 1 raki raki 22M Oct  3 11:42 /home/raki/Documents/oa_data_2019-10-03.csv
-rw-r--r-- 1 root root 19M Sep 10 16:36 /usr/lib/x86_64-linux-gnu/libjavascriptcoregtk-4.0.so.18.13.7
-rw-r--r-- 1 root root 19M Jul 12 20:24 /lib/firmware/liquidio/lio_23xx_vsw.bin
-rwxr-xr-x 1 root root 18M Oct 17  2018 /usr/bin/node
-rwxr-xr-x 1 root root 18M Jul  3 17:36 /usr/bin/containerd-stress
-rwxr-xr-x 1 root root 18M Jul 12 14:10 /usr/lib/snapd/snapd
-rw-r--r-- 1 root root 18M Oct  3 00:52 /usr/lib/firefox/omni.ja
-rw-r--r-- 1 root root 18M Mar 29  2018 /usr/share/mythes/th_en_US_v2.dat
-rw-r--r-- 1 root root 18M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/platform-api.jar
-rw-rw-r-- 1 raki raki 17M Sep 18 10:37 /home/raki/Documents/rabbit.pdf
-rw-r--r-- 1 root root 17M Apr 20  2018 /usr/lib/x86_64-linux-gnu/liboctinterp.so.4.0.0
-rw-r--r-- 1 root root 16M Feb  6  2018 /usr/lib/libgdal.so.20.3.2
-rw-r--r-- 1 root root 16M Aug 28 10:37 /usr/lib/x86_64-linux-gnu/libgs.so.9.26
-rw-r--r-- 1 root root 16M Apr 20  2018 /usr/lib/x86_64-linux-gnu/liboctave.so.4.0.0
-rwxr-xr-x 1 root root 15M Apr  6  2019 /opt/sublime_text/plugin_host
-rwxr-xr-x 1 root root 13M Jul 12 14:10 /usr/bin/snap
-rw-r--r-- 1 root root 13M Sep 20 15:05 /usr/lib/chromium-browser/resources.pak
-rw-r--r-- 1 root root 13M Jul 23 11:44 /opt/idea-IC-192.5728.98/lib/resources_en.jar
-rw-r--r-- 1 root root 13M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/intellij-dvcs.jar
-rwxr-xr-x 1 root root 12M Sep 20 15:05 /usr/bin/chromedriver
-rwxr-xr-x 1 root root 12M Jun 13 11:38 /usr/bin/qemu-system-x86_64
-rwxr-xr-x 1 root root 12M Jun 13 11:38 /usr/bin/qemu-system-i386
-rw-r--r-- 1 root root 12M Sep 18 03:35 /opt/google/chrome/resources.pak
-rw-r--r-- 1 root root 12M Dec 18  2017 /usr/lib/mysql-workbench/libwbpublic.so.6.3.8
-rw-r--r-- 1 root root 11M May 23  2016 /usr/lib/x86_64-linux-gnu/libQtGui.so.4.8.7
-rw-r--r-- 1 root root 11M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/intellij-xml.jar
-rw-r--r-- 1 root root 10M Sep 19 00:20 /usr/lib/chromium-browser/icudtl.dat
-rw-r--r-- 1 root root 10M Sep 18 03:35 /opt/google/chrome/icudtl.dat
-rw-r--r-- 1 root root 9.9M Jun 14 09:57 /usr/lib/locale/locale-archive
-rw-r--r-- 1 root root 9.8M Aug 12 15:34 /opt/Postman/app/icudtl.dat
-rwxr-xr-x 1 root root 9.5M Apr 10  2018 /usr/bin/mongorestore
-rw-r--r-- 1 root root 9.5M Dec 18  2017 /usr/lib/mysql-workbench/libwbprivate.so.6.3.8
-rwxr-xr-x 1 root root 9.3M Jul 12 14:10 /usr/lib/snapd/snap-repair
-rw-r--r-- 1 root root 9.3M Apr 12  2018 /usr/share/backgrounds/Manhattan_Sunset_by_Giacomo_Ferroni.jpg
-r--r--r-- 1 root root 9.0M Sep 11 10:02 /lib/udev/hwdb.bin
-rwxr-xr-x 1 root root 8.6M Sep 18 03:35 /opt/google/chrome/nacl_helper
-rwxr-xr-x 1 root root 8.6M Apr 10  2018 /usr/bin/mongoreplay
-rwxr-xr-x 1 root root 8.4M Aug 26 14:23 /usr/local/bin/redis-server
-rwxr-xr-x 1 root root 8.4M Aug 26 14:23 /usr/local/bin/redis-check-rdb
-rwxr-xr-x 1 root root 8.4M Aug 26 14:23 /usr/local/bin/redis-check-aof
-rwxr-xr-x 1 root root 8.4M Apr  6  2019 /opt/sublime_text/sublime_text
-rwxr-xr-x 1 root root 8.4M Apr 10  2018 /usr/bin/mongodump
-rw------- 1 root root 8.4M Sep 12 22:31 /boot/vmlinuz-5.0.0-29-generic
-rw------- 1 root root 8.4M Oct  1 07:57 /boot/vmlinuz-5.0.0-31-generic
-rw------- 1 root root 8.4M Aug 21 05:12 /boot/vmlinuz-5.0.0-27-generic
-rw-r--r-- 1 root root 8.3M Sep 20 15:05 /usr/lib/chromium-browser/headless_lib.pak
-rw-r----- 1 raki raki 8.0M Sep 30 13:00 /data/ws-logs/locationV1/webservice-info.log
-rw-r--r-- 1 root root 7.7M Aug 27 12:12 /usr/lib/x86_64-linux-gnu/libOSMesa.so.8.0.0
-rwxr-xr-x 1 root root 7.3M Jun 28 20:56 /usr/bin/gdb
-rw-r--r-- 1 root root 7.2M Aug 12 15:34 /opt/Postman/app/content_shell.pak
-rw-r--r-- 1 root root 7.1M Jun  5 19:16 /usr/lib/x86_64-linux-gnu/libgtk-3.so.0.2200.30
-rw-r--r-- 1 root root 6.9M Nov 20  2017 /usr/lib/x86_64-linux-gnu/libmwaw-0.3.so.3.0.13
-rw-r--r-- 1 root root 6.9M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/groovy-all-2.4.17.jar
-rwxr-xr-x 1 root root 6.8M Jul 12 14:10 /usr/lib/snapd/snapctl
-rwxr-xr-x 1 root root 6.8M Apr 10  2018 /usr/bin/mongostat
-rwxr-xr-x 1 root root 6.8M Apr 10  2018 /usr/bin/mongoimport
-rw-r--r-- 1 root root 6.8M Sep 18 03:35 /opt/google/chrome/libwidevinecdm.so
-rwxr-xr-x 1 root root 6.7M Apr 10  2018 /usr/bin/mongoexport
-rwxr-xr-x 1 root root 6.6M Apr 10  2018 /usr/bin/mongotop
-rwxr-xr-x 1 root root 6.6M Apr 10  2018 /usr/bin/mongofiles
-rwxr-xr-x 1 root root 6.5M Apr 10  2018 /usr/bin/bsondump
-rw-r--r-- 1 root root 6.4M Jul 23 11:43 /opt/idea-IC-192.5728.98/lib/sqlite-jdbc-3.21.0.1.jar
-rw-r--r-- 1 root root 6.3M Jun 20 16:29 /usr/lib/x86_64-linux-gnu/libQt5Widgets.so.5.9.5
-rw-r--r-- 1 root root 6.2M Mar 28  2018 /usr/lib/x86_64-linux-gnu/libwx_gtk2u_core-3.0.so.0.4.0
-rw-r--r-- 1 root root 6.1M Mar 28  2018 /usr/lib/x86_64-linux-gnu/libwx_gtk3u_core-3.0.so.0.4.0
-rwxr-xr-x 1 root root 6.0M Jul  3 17:36 /usr/bin/containerd-shim-runc-v1
-rw-r--r-- 1 root root 6.0M Apr 17  2018 /usr/lib/x86_64-linux-gnu/libpthread.a
-rw-r----- 1 syslog adm 5.8M Oct 15 13:10 /var/log/syslog.1
-rwxr-xr-x 1 root root 5.7M Jun 24 14:40 /usr/bin/ubuntu-report
-rw-r--r-- 1 root root 5.7M Jun 24 14:40 /usr/lib/x86_64-linux-gnu/libsysmetrics.so.1
-rwxr-xr-x 1 root root 5.6M Jul  3 17:48 /usr/sbin/runc
-rw-r--r-- 1 root root 5.6M Nov 17  2016 /usr/lib/x86_64-linux-gnu/libspatialite.so.7.1.0
-rw-r--r-- 1 root root 5.6M Jul 23 11:44 /opt/idea-IC-192.5728.98/lib/util.jar
-rw-r--r-- 1 root root 5.4M Jun 20 16:29 /usr/lib/x86_64-linux-gnu/libQt5Gui.so.5.9.5
-rwxr-xr-x 1 root root 5.3M Jul 22 23:32 /usr/bin/mysql_install_db
-rw-r--r-- 1 root root 5.3M Mar 15  2018 /usr/share/GeoIP/GeoIPv6.dat
